z log10L log10L_binw_full N phi_obs phi_final phi_final_err volume
4.69 42.86 0.15 10 -4.26 -3.66 0.09 12.22
4.69 43.01 0.15 5  -4.56 -3.93 0.13 12.22
4.69 43.16 0.15 2  -4.96 -4.11 0.16 12.22
