z log10L log10L_binw_full N phi_obs phi_final phi_final_err volume
2.25 42.45 0.20 92 -3.14 -2.77 0.05 6.29
2.25 42.65 0.20 37 -3.53 -3.15 0.08 6.29
2.25 42.85 0.20 3  -4.62 -4.46 0.35 6.29
