z log10L log10L_binw_full N phi_obs phi_final phi_final_err volume
3.34 43.05 0.10 12 -4.12 -3.86 0.17 15.88
3.34 43.15 0.15 7  -4.37 -3.92 0.24 16.52
3.34 43.30 0.15 2  -5.22 -4.87 0.48 16.52
